"","Variable","n_Units","n_Coders","n_Categories","Level","Agreement","Holstis_CR","Krippendorffs_Alpha","Cohens_Kappa","Fleiss_Kappa"
"1","fieldNotes",25,2,2,"nominal",0.8,0.8,0.490644490644491,0.489795918367347,0.48024948024948
"2","focusGroup",25,2,2,"nominal",1,1,1,1,1
"3","historical",25,2,2,"nominal",0.92,0.92,0.628787878787879,0.626865671641791,0.621212121212122
"4","interview",25,2,3,"nominal",0.96,0.96,0.900608519269777,0.898785425101215,0.898580121703854
"5","media",25,2,2,"nominal",0.92,0.92,0.628787878787879,0.626865671641791,0.621212121212122
"6","other",25,2,2,"nominal",0.64,0.64,0.16,0.157303370786517,0.142857142857143
"7","survey",25,2,2,"nominal",1,1,1,1,1
